"","SampleID","Dia","Linea","Tratamiento","Trt","Trtb","ID"
"1","EH011SC","1","NCM460","Control","NCM460Control","NCM460Control","1"
"2","EH021ST","1","NCM460","DFMO","NCM460DFMO","NCM460DFMO","2"
"3","EH031TC","1","HT29","Control","HT29Control","HT29Control","3"
"4","EH041TT","1","HT29","DFMO","HT29DFMO","HT29DFMO","4"
"5","EH052SC","2","NCM460","Control","NCM460Control","NCM460Control","5"
"6","EH062ST","2","NCM460","DFMO","NCM460DFMO","NCM460DFMO","6"
"7","EH072TC","2","HT29","Control","HT29Control","HT29Control","7"
"8","EH082TT","2","HT29","DFMO","HT29DFMO","HT29DFMO","8"
"9","EH093SC","3","NCM460","Control","NCM460Control","NCM460Control","9"
"10","EH103ST","3","NCM460","DFMO","NCM460DFMO","NCM460DFMO","10"
"11","EH113TC","3","HT29","Control","HT29Control","HT29Control","11"
"12","EH123TT","3","HT29","DFMO","HT29DFMO","HT29DFMO","12"
