SampleID,Dia,Linea,Tratamiento,Trt,Trtb,ID
EH031TC,1,HT29,Control,HT29Control,HT29Control,3
EH072TC,2,HT29,Control,HT29Control,HT29Control,7
EH113TC,3,HT29,Control,HT29Control,HT29Control,11
EH041TT,1,HT29,DFMO,HT29DFMO,HT29DFMO,4
EH082TT,2,HT29,DFMO,HT29DFMO,HT29DFMO,8
EH123TT,3,HT29,DFMO,HT29DFMO,HT29DFMO,12
EH011SC,1,NCM460,Control,NCM460Control,NCM460Control,1
EH052SC,2,NCM460,Control,NCM460Control,NCM460Control,5
EH093SC,3,NCM460,Control,NCM460Control,NCM460Control,9
EH021ST,1,NCM460,DFMO,NCM460DFMO,NCM460DFMO,2
EH062ST,2,NCM460,DFMO,NCM460DFMO,NCM460DFMO,6
EH103ST,3,NCM460,DFMO,NCM460DFMO,NCM460DFMO,10
