"","PROBEID","SYMBOL"
"1","TC0100010032.hg.1","S100A9"
"2","TC0100010035.hg.1","S100A7A"
"3","TC0100010043.hg.1","S100A1"
"4","TC0100010824.hg.1","CACNA1E"
"5","TC0100011267.hg.1","ATP2B4"
"6","TC0100012113.hg.1","RYR2"
"7","TC0100014768.hg.1","MCOLN2"
"8","TC0100014769.hg.1","MCOLN3"
"9","TC0100015819.hg.1","S100A10"
"10","TC0100015822.hg.1","S100A11"
"11","TC0100015829.hg.1","HRNR"
"12","TC0100015856.hg.1","S100A12"
"13","TC0100015858.hg.1","S100A8"
"14","TC0100015861.hg.1","S100A7L2"
"15","TC0100015862.hg.1","S100A7"
"16","TC0100015864.hg.1","S100A6"
"17","TC0100015865.hg.1","S100A5"
"18","TC0100015866.hg.1","S100A4"
"19","TC0100015867.hg.1","S100A3"
"20","TC0100015868.hg.1","S100A2"
"21","TC0100015871.hg.1","S100A16"
"22","TC0100015872.hg.1","S100A14"
"23","TC0100015873.hg.1","S100A13"
"24","TC0100016901.hg.1","CACNA1S"
"25","TC0200011147.hg.1","TRPM8"
"26","TC0200011400.hg.1","SEPTIN2"
"27","TC0200012339.hg.1","SLC8A1"
"28","TC0200013836.hg.1","SEPTIN10"
"29","TC0300006477.hg.1","ITPR1"
"30","TC0300007517.hg.1","CACNA1D"
"31","TC0300008824.hg.1","ATP2C1"
"32","TC0300009035.hg.1","TRPC1"
"33","TC0300010242.hg.1","ATP2B2"
"34","TC0300013996.hg.1","STIMATE-MUSTN1"
"35","TC0300013996.hg.1","STIMATE"
"36","TC0400007913.hg.1","SEPTIN11"
"37","TC0400008093.hg.1","PKD2"
"38","TC0400008380.hg.1","MCUB"
"39","TC0400011750.hg.1","TRPC3"
"40","TC0400012763.hg.1","S100P"
"41","TC0400012782.hg.1","STIM2"
"42","TC0500007836.hg.1","S100Z"
"43","TC0500008767.hg.1","PKD2L2"
"44","TC0500012025.hg.1","SEPTIN8"
"45","TC0500012059.hg.1","VDAC1"
"46","TC0500012127.hg.1","TRPC7"
"47","TC0600007711.hg.1","ITPR3"
"48","TC0600010867.hg.1","MCUR1"
"49","TC0700007178.hg.1","SEPTIN7"
"50","TC0700008626.hg.1","ORAI2"
"51","TC0700012867.hg.1","TRPV6"
"52","TC0700012869.hg.1","TRPV5"
"53","TC0800006860.hg.1","MICU3"
"54","TC0800007440.hg.1","VDAC3"
"55","TC0800009961.hg.1","CLU"
"56","TC0800009961.hg.1","MIR6843"
"57","TC0800010016.hg.1","SARAF"
"58","TC0800010784.hg.1","TRPA1"
"59","TC0900009324.hg.1","CACNA1B"
"60","TC0900010370.hg.1","TRPM3"
"61","TC0900010439.hg.1","TRPM6"
"62","TC0X00008786.hg.1","ATP2B3"
"63","TC0X00009664.hg.1","CACNA1F"
"64","TC0X00010525.hg.1","TRPC5"
"65","TC0X00010643.hg.1","SEPTIN6"
"66","TC1000008005.hg.1","MCU"
"67","TC1000008092.hg.1","VDAC2"
"68","TC1000010661.hg.1","MBL2"
"69","TC1000010993.hg.1","MICU1"
"70","TC1000011607.hg.1","PKD2L1"
"71","TC1100006635.hg.1","STIM1"
"72","TC1100006635.hg.1","MIR4687"
"73","TC1100007772.hg.1","MS4A12"
"74","TC1100009799.hg.1","TRPM5"
"75","TC1100012100.hg.1","TRPC6"
"76","TC1100013164.hg.1","PRG2"
"77","TC1200008835.hg.1","ATP2A2"
"78","TC1200009172.hg.1","ORAI1"
"79","TC1200009649.hg.1","CRACR2A"
"80","TC1200010185.hg.1","ITPR2"
"81","TC1200011474.hg.1","ATP2B1"
"82","TC1200011882.hg.1","TRPV4"
"83","TC1200011993.hg.1","SLC8B1"
"84","TC1200012570.hg.1","CACNA1C"
"85","TC1300008292.hg.1","MICU2"
"86","TC1300008645.hg.1","TRPC4"
"87","TC1400009568.hg.1","SLC8A3"
"88","TC1500006806.hg.1","RYR3"
"89","TC1500008896.hg.1","TRPM1"
"90","TC1500009395.hg.1","TRPM7"
"91","TC1600006525.hg.1","CACNA1H"
"92","TC1600007368.hg.1","ATP2A1"
"93","TC1600008646.hg.1","ATP2C2"
"94","TC1600009088.hg.1","PKD1"
"95","TC1600009088.hg.1","MIR6511B2"
"96","TC1600009088.hg.1","MIR6511B1"
"97","TC1600011386.hg.1","ORAI3"
"98","TC1600011520.hg.1","SEPTIN1"
"99","TC1700007016.hg.1","TRPV2"
"100","TC1700008262.hg.1","CACNA1G"
"101","TC1700008995.hg.1","SEPTIN9"
"102","TC1700009498.hg.1","ATP2A3"
"103","TC1700010592.hg.1","ORMDL3"
"104","TC1700011261.hg.1","SEPTIN4"
"105","TC1700012333.hg.1","TRPV3"
"106","TC1700012334.hg.1","TRPV1"
"107","TC1800009112.hg.1","MBP"
"108","TC1900008017.hg.1","RYR1"
"109","TC1900008528.hg.1","TRPM4"
"110","TC1900011030.hg.1","SLC8A2"
"111","TC1900011653.hg.1","MCOLN1"
"112","TC1900011894.hg.1","CACNA1A"
"113","TC2100007359.hg.1","TRPM2"
"114","TC2100008477.hg.1","S100B"
"115","TC2200006614.hg.1","GP1BB"
"116","TC2200006614.hg.1","SEPTIN5"
"117","TC2200006614.hg.1","SEPT5-GP1BB"
"118","TC2200007407.hg.1","CACNA1I"
"119","TC2200007505.hg.1","SEPTIN3"
"120","TC2200009279.hg.1","SMDT1"
"121","ERCC-00002_st",NA
"122","ERCC-00014_st",NA
"123","ERCC-00019_st",NA
"124","ERCC-00073_st",NA
"125","ERCC-00099_st",NA
"126","ERCC-00111_st",NA
"127","ERCC-00120_st",NA
"128","ERCC-00126_st",NA
"129","ERCC-00134_st",NA
"130","ERCC-00145_st",NA
"131","ERCC-00164_st",NA
"132","ERCC-00170_st",NA
"133","ERCCmix1step21",NA
"134","ERCCmix1step5",NA
"135","ERCCmix2step10",NA
"136","ERCCmix2step23",NA
"137","ERCCmix2step33",NA
